"SL.
NO.",YEAR,NET AREA SOWN ('000 ha.),GROSS CROPPED AREA ('000 ha.),CROPPING INTENSITY (%),
1,1970-71,5601,6761,121,
2,1971-72,5765,6874,119,
3,1972-73,5622,6936,123,
4,1973-74,5973,7284,122,
5,1974-75,5719,7134,125,
6,1975-76,6137,7733,126,
7,1976-77,5877,7209,123,
8,1977-78,5997,7931,132,
9,1978-79,6097,8275,136,
10,1979-80,5970,8166,137,
11,1980-81,6130,8746,143,
12,1981-82,6051,8471,140,
13,1982-83,5925,8260,139,
14,1983-84,6301,9500,151,
15,1984-85,6288,8774,139,
16,1985-86,6302,9260,146,
17,1986-87,6267,9270,148,
18,1987-88,5954,9092,153,
19,1988-89,6280,9169,146,
20,1989-90,6321,9445,150,
21,1990-91,6304,9594,152,
22,1991-92,6337,9822,155,
23,1992-93,6304,9416,149,
24,1993-94,6303,9747,155,
25,1994-95,6279,9691,154,
"SL.
NO.",YEAR,NET AREA SOWN ('000 ha.),GROSS CROPPED AREA ('000 ha.),CROPPING INTENSITY (%),
26,1995-96,6210,9668,156,
27,1996-97,5968,8216,138,
28,1997-98,6122,8645,141,
29,1998-99,6048,8425,139,
30,1999-00,6075,8524,140,
31,2000-01,5829,7878,135,
32,2001-02,5845,8798,151,
33,2002-03,5680,7852,138,
34,2003-04,5796,8637,149,
35,2004-05,5739,8718,152,
36,2005-06,5691,8924,157,
37,2006-07,5654,8960,158,
38,2007-08,5624,9016,160,
39,2008-09,5604,9071,162,
40,2009-10,5574,9074,163,
41,2010-11,5421,9080,167,
42,2011-12,5292,8801,166,
43,2012-13,5317,8879,167,
44,2013-14,5424,9054,167,
45,2014-15,5496,9011,164,
46,2015-16,5608,8385,150,
47,2016-17,5652,8541,151,
48,2017-18,5356,8361,156,
49,2018-19,5362,8338,156,
50,2019-20*,5330,8224,154,
* Provisional,,,,,
42    5 Decades of Odisha Agriculture Statistics - 2020,,,,,
