,,,,,
YEAR,N,P,K,,
1970-71,20.32,5.5,2.1,,
1971-72,37.43,8.38,4.01,,
1972-73,40.51,9.98,5.86,,
1973-74,43.59,11.99,7.49,,
1974-75,34.33,9.08,6.2,,
1975-76,37.01,9.04,5.8,,
1976-77,43.91,10.99,7.05,,
1977-78,45.78,12.03,6.86,,
1978-79,49.88,13.8,8.11,,
1979-80,46.87,13.27,7.24,,
1980-81,51.68,15.86,8.82,,
1981-82,54.16,17.92,9.91,,
1982-83,56.84,18.22,10.6,,
1983-84,62.51,25.92,14.58,,
1984-85,70.42,27.39,16.45,,
1985-86,87.11,33.51,19.92,,
1986-87,96.85,37.54,23.67,,
1987-88,87.99,39.07,24.55,,
1988-89,123.49,47.54,30.91,,
1989-90,132.87,43.89,27.97,,
1990-91,126.65,41.04,24.97,,
1991-92,126.22,41.52,28.29,,
1992-93,142.59,39.08,21.28,,
1993-94,154.59,34.16,18.95,,
1994-95,161.77,33.29,24.93,,
1995-96,174.77,35.1,27.66,,
1996-97,178.36,43.16,29.24,,
1997-98,195.8,55.53,39.47,,
1998-99,194.53,60.4,44.21,,
1999-00,233.95,74.51,51.48,,
2000-01,207.43,71.2,40.58,,
2001-02,221.17,71.94,51.55,,
2002-03,185.41,62.86,42.29,,
2003-04,210.07,66.64,49.5,,
2004-05,223.53,77.99,53.77,,
2005-06,243.21,91.05,60.62,,
2006-07,256.54,92.77,53.57,,
2007-08,272.1,116.76,63.03,,
2008-09,297.76,147.92,89.16,,
2009-10,292.29,148.59,78.45,,
2010-11,294.72,153.97,89.16,,
2011-12,323.4,135.48,55.79,,
2012-13,315.04,124.18,50.98,,
2013-14,312.99,117.11,56.44,,
2014-15,314.06,126.22,59.24,,
2015-16,327.2,133.66,58.85,,
2016-17,301.09,128.95,58.11,,
2017-18,325.05,140.37,71.51,,
2018-19,349.83,152.34,74.76,,
2019-20,345.45,153.53,70.75,,
