Year,Area,Yield,Season,N,P,K,Cropping_Intensity,Live_Temperature,Live_Humidity
1970,627,541,Autumn,20.32,5.5,2.1,121,27.5,80.0
1970,4336,902,Kharif,20.32,5.5,2.1,121,27.5,80.0
1970,3709,964,Winter,20.32,5.5,2.1,121,27.5,80.0
1971,847,562,Autumn,37.43,8.38,4.01,119,27.5,80.0
1971,4484,753,Kharif,37.43,8.38,4.01,119,27.5,80.0
1971,3637,797,Winter,37.43,8.38,4.01,119,27.5,80.0
1972,770,501,Autumn,40.51,9.98,5.86,123,27.5,80.0
1972,4294,870,Kharif,40.51,9.98,5.86,123,27.5,80.0
1972,3524,950,Winter,40.51,9.98,5.86,123,27.5,80.0
1973,845,582,Autumn,43.59,11.99,7.49,122,27.5,80.0
1973,4570,917,Kharif,43.59,11.99,7.49,122,27.5,80.0
1973,3725,993,Winter,43.59,11.99,7.49,122,27.5,80.0
1974,697,356,Autumn,34.33,9.08,6.2,125,27.5,80.0
1974,4276,694,Kharif,34.33,9.08,6.2,125,27.5,80.0
1974,3579,760,Winter,34.33,9.08,6.2,125,27.5,80.0
1975,758,580,Autumn,37.01,9.04,5.8,126,27.5,80.0
1975,4504,949,Kharif,37.01,9.04,5.8,126,27.5,80.0
1975,3746,1023,Winter,37.01,9.04,5.8,126,27.5,80.0
1976,778,438,Autumn,43.91,10.99,7.05,123,27.5,80.0
1976,4207,703,Kharif,43.91,10.99,7.05,123,27.5,80.0
1976,3429,763,Winter,43.91,10.99,7.05,123,27.5,80.0
1977,839,710,Autumn,45.78,12.03,6.86,132,27.5,80.0
1977,4216,961,Kharif,45.78,12.03,6.86,132,27.5,80.0
1977,3377,1023,Winter,45.78,12.03,6.86,132,27.5,80.0
1978,914,689,Autumn,49.88,13.8,8.11,136,27.5,80.0
1978,4207,996,Kharif,49.88,13.8,8.11,136,27.5,80.0
1978,3293,1081,Winter,49.88,13.8,8.11,136,27.5,80.0
1979,879,309,Autumn,46.87,13.27,7.24,137,27.5,80.0
1979,3974,688,Kharif,46.87,13.27,7.24,137,27.5,80.0
1979,3095,795,Winter,46.87,13.27,7.24,137,27.5,80.0
1980,865,600,Autumn,51.68,15.86,8.82,143,27.5,80.0
1980,4019,1003,Kharif,51.68,15.86,8.82,143,27.5,80.0
1980,3154,1114,Winter,51.68,15.86,8.82,143,27.5,80.0
1981,928,668,Autumn,54.16,17.92,9.91,140,27.5,80.0
1981,4022,911,Kharif,54.16,17.92,9.91,140,27.5,80.0
1981,3094,984,Winter,54.16,17.92,9.91,140,27.5,80.0
1982,834,488,Autumn,56.84,18.22,10.6,139,27.5,80.0
1982,3842,705,Kharif,56.84,18.22,10.6,139,27.5,80.0
1982,3008,765,Winter,56.84,18.22,10.6,139,27.5,80.0
1983,943,751,Autumn,62.51,25.92,14.58,151,27.5,80.0
1983,4148,1148,Kharif,62.51,25.92,14.58,151,27.5,80.0
1983,3205,1265,Winter,62.51,25.92,14.58,151,27.5,80.0
1984,973,668,Autumn,70.42,27.39,16.45,139,27.5,80.0
