YEAR,AUTUMN RICE,,,,WINTER RICE,,,KHARIF RICE,,
,Area,,Yield,Prod.,Area,Yield,Prod.,Area,Yield,Prod.
1970-71,627,,541,339,3709,964,3574,4336,902,3913
1971-72,847,,562,476,3637,797,2900,4484,753,3376
1972-73,770,,501,386,3524,950,3349,4294,870,3735
1973-74,845,,582,492,3725,993,3699,4570,917,4191
1974-75,697,,356,248,3579,760,2719,4276,694,2967
1975-76,758,,580,440,3746,1023,3834,4504,949,4274
1976-77,778,,438,341,3429,763,2617,4207,703,2958
1977-78,839,,710,596,3377,1023,3454,4216,961,4050
1978-79,914,,689,630,3293,1081,3559,4207,996,4189
1979-80,879,,309,272,3095,795,2462,3974,688,2734
1980-81,865,,600,519,3154,1114,3512,4019,1003,4031
1981-82,928,,668,620,3094,984,3043,4022,911,3663
1982-83,834,,488,407,3008,765,2300,3842,705,2707
1983-84,943,,751,708,3205,1265,4055,4148,1148,4763
1984-85,973,,668,650,3157,1014,3200,4130,932,3850
1985-86,1014,,840,852,3182,1266,4028,4196,1163,4880
1986-87,1010,,619,625,3193,1200,3831,4203,1060,4456
1987-88,887,,458,406,2968,909,2697,3855,805,3103
1988-89,899,,702,631,3189,1337,4265,4088,1198,4896
1989-90,907,,853,774,3280,1545,5066,4187,1395,5840
1990-91,937,,939,880,3252,1218,3962,4189,1156,4842
1991-92,885,,981,868,3373,1530,5162,4258,1416,6030
1992-93,870,,791,688,3361,1276,4288,4231,1176,4976
1993-94,883,,900,795,3428,1548,5306,4311,1415,6101
1994-95,838,,986,826,3349,1494,5005,4187,1393,5831
1995-96,854,,951,812,3400,1422,4836,4254,1328,5648
1996-97,820,,546,448,3378,1000,3379,4198,912,3827
1997-98,827,,983,813,3434,1438,4938,4261,1350,5751
1998-99,820,,611,501,3359,1305,4384,4179,1169,4885
1999-00,797,,932,743,3423,1032,3532,4220,1013,4275
2000-01,855,,543,464,3372,1100,3708,4227,987,4172
2001-02,853,,999,852,3375,1694,5718,4228,1554,6570
2002-03,809,,366,296,3287,770,2530,4096,690,2826
2003-04,861,,982,846,3386,1581,5352,4248,1459,6199
2004-05,824,,822,677,3375,1543,5207,4199,1401,5884
2005-06,781,,886,691,3373,1648,5558,4154,1504,6249
2006-07,757,,1026,776,3379,1604,5419,4136,1498,6196
2007-08,742,,1114,826,3376,1777,6000,4118,1658,6826
2008-09,707,,1056,746,3417,1565,5346,4124,1477,6092
2009-10,687,,913,628,3413,1660,5665,4100,1535,6293
2010-11,678,,844,572,3255,1683,5479,3933,1539,6051
2011-12,536,,791,424,3233,1455,4703,3769,1360,5127
2012-13,561,,1732,971,3188,2402,7658,3749,2302,8629
2013-14,582,,1463,851,3298,1739,5734,3880,1697,6585
2014-15,583,,1775,1036,3282,2378,7802,3865,2287,8838
2015-16,542,,719,390,3167,1485,4703,3708,1373,5092
2016-17,512,,1285,658,3226,2586,8343,3738,2408,9001
2017-18,530,,1088,577,3014,1751,5279,3544,1652,5856
2018-19,454,,1161,527,3131,2006,6280,3585,1899,6808
2019-20,426,,1806,769,3222,2499,8053,3648,2418,8822
